URL,Title,Last Visit Time,Safety
https://in.pinterest.com/pin/383931937004660725/,"Пин от пользователя Ain Ridzuan00 на доске wallpaper в 2022 г | Обои для нотбука, Карта, Обои искусство",13384407418802114,❓ Unknown
https://chatgpt.com/c/67b43b2a-1da8-8004-93ff-65b6e8ac5055,Web-based USB Scanner,13384338477152676,❓ Unknown
https://chatgpt.com/,ChatGPT,13384338422769408,❓ Unknown
https://chatgpt.com/c/67b3f8a6-7fbc-8004-900b-1850dbae86b2,Email Spam Filtering Survey,13384338418817663,❓ Unknown
https://www.bing.com/search?filters=ufn%3a%22ChatGPT%22+sid%3a%22ca572841-55be-4ed6-3d83-4ffff84bdc9f%22&qs=MB&pq=chat&sk=CSYN1UAS8LS6AS1FT2HS1&sc=22-4&pglt=299&q=chatgpt&cvid=5e74a959438f4834a8651587d5aef0c4&gs_lcrp=EgRlZGdlKgYIARAuGEAyBwgAEAAY-QcyBggBEC4YQDIGCAIQRRg5MgYIAxAAGEAyBggEEAAYQDIGCAUQABhAMgYIBhAAGEAyBggHEAAYQDIGCAgQRRg80gEKMzE5ODA3ajBqMagCALACAA&FORM=ANSPA1&PC=HCTS,chatgpt - Search,13384338412250752,❓ Unknown
https://www.bing.com/ck/a?!&&p=d7faf0b303a488a76677e86f13e5040a11f16a78a4364e047a15daac2f0c2bcdJmltdHM9MTczOTc1MDQwMA&ptn=3&ver=2&hsh=4&fclid=34f4f594-3cdf-6b36-3fb0-e11c3d796a36&psq=chatgpt&u=a1aHR0cHM6Ly9jaGF0Z3B0LmNvbS8&ntb=1,,13384338412230625,❓ Unknown
https://go.microsoft.com/fwlink/?linkid=2140622&channel=stable&version=133.0.3065.69,What's new in Microsoft Edge,13384329259379700,❓ Unknown
https://www.microsoft.com/edge/update?channel=stable&version=133.0.3065.69,What's new in Microsoft Edge,13384329259379700,❓ Unknown
https://www.microsoft.com/en-us/edge/update/133?form=MT00XT&channel=stable&version=133.0.3065.69&cs=821932703,What's new in Microsoft Edge,13384329259379700,❓ Unknown
https://accounts.google.com/v3/signin/challenge/pwd?TL=ADgdZ7QSEyFnNHfE07Yr3JWmzq7taw0HyP8V1-1D4e47D2E8Eu_YI1K_qN4ygsM1&access_type=offline&as=S19642144%3A1739368430268620&checkConnection=youtube%3A213&checkedDomains=youtube&cid=2&client_id=205977709770-3d0am349pfuhpv45soo1qt5o6h7cbofk.apps.googleusercontent.com&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hANAPIY9cL4ykO9BJXWNAZ-m5H3M19lGkjXcmMl72pw4aW4EG_bl9tYcg-n1vhrMwMzJQKLKJiDjv_TW_J0jbq7fnQvB0xBcK3cn7Ref8L7oxGe7CUrxoSLAwlRbi3tlPSFhjJhpUcRzoGU5Vhs-UZ7JknTlkjli9HItETds4ynN7a_NKofeIAma_ZjdNE8PURiZl4VH0sFIydjst73u4u9J1EQ1JZlIFQhANX2E3dqY4Trd-51i2jlUCeErQTQUYoiOe_kXYCq5GLsWlymNu4Ja1b4vfsaPzBnjOZP20bizsKnlmWUDrSBsedDLya2zuIBUx56Y2sHlTpiS0SfLmUNuBFT0r3wyV7JrtwJC-4fQJv6ZlnUluEVVGyW1R9pfjsH98DCo-hKOTDTgDju8XWjk4V7_amgKb2rTrCprF15GOOZPL5hsVn47-3Ab2JzyB_i3pKTgHFdQJ3NPDLaeg8Yu2IPcWA%26flowName%3DGeneralOAuthFlow%26as%3DS19642144%253A1739368430268620%26client_id%3D205977709770-3d0am349pfuhpv45soo1qt5o6h7cbofk.apps.googleusercontent.com%23&ddm=1&flowName=GeneralOAuthFlow&hl=en-GB&o2v=1&prompt=consent&redirect_uri=https%3A%2F%2Fchat.deepseek.com%2Fapi%2Fv0%2Fusers%2Foauth%2Fgoogle%2Fcallback&response_type=code&scope=profile+email&service=lso&state=WTBhNODaK-JuTQnmBRq7LguDSUedv48S8scZYEHtj7WnPnp4_hF0veWQdINIO_W2Kb0jZMZ5YBm_h1VM6U90orNwLJ3F-hEKFLt2YJ9Pmk6ldWQMWXe4N3AVoCcEDR3L2SjTrgDPV7rfUVEX2q8sBiCSsWW9W6ayh1Ce3bIVx961nOvxhvhMd4ckRoOlfl2UMP6f3fisooW768BQGwPZq6K2RuyzVwSO6UW4-4o5WshYcask8KihBA2N6bE1Op9_10DM_11xURZgvtXQvVlT_fkbxZNCmLc4Ibrcwk-j3f-autytlaoQTc8H7gpza229DNiOx_5dFBSCYzkYgajlAtLWio8Z7mL9Swft1dVA3zv2Tea8A1bdA-VCmSVRWryPJ1cJ7TaWjx0XnOWfUCjthlwPWW_WXe6hbRyRhseVm1wpj3MnyrA6U7K__K751Dfl5vs2N2N0UVvDaNyhRYADaKldLhliLVygz_VFXywrF-83DjGUW6MppVQCNdk98_VNnB2XRY_ye5AcdaFXls5tYUg6IbeNoXHnVIUeUzBauK1nTC9HpmVH2Ne8egxOtu4YQQMpkhOGcUNAIfu3R9F_uBSUFIQ17_2DbEt-KUJOJBPdewCev6L8uNf8CR0toWj4BpuHWu8NG9LvDu2Ub0-44kuFUV2_e10dr7pSULe1jRxjGFMix_x0vUJS0luR_zF0nPk_hrY41UfDm4aewJJHJwbzBBziL3XEzAuUijlTNcJriWM15lgCgNFmtCAQDd8hDOLcMD-Wn4N_ZAQz8HrJUx37VT7DbJGri-g3kcyHTAgO5_Ea4T-ud38-eDw4oTNTe0Xr9GkvZ_St1-uB&trampoline=1,Sign in – Google accounts,13383842037536436,❓ Unknown
